Period;Year;Chi;US;Europe;Other Markets
Q1;2020;7372;8680;31559;8906
Q2;2020;16910;7813;23227;7292
Q3;2020;17294;9909;28454;10106
Q4;2020;19660;14179;38664;12808
Q1;2021;16628;11006;30738;10221
Q2;2021;17707;12765;30062;12004
Q3;2021;12638;13404;24086;10710
Q4;2021;16553;14840;36141;12542
Q1;2022;17409;11321;34139;11400
Q2;2022;14012;16247;28429;12612
Q3;2022;21113;12900;33596;11720
Q4;2022;18390;19602;47986;17269
Q1;2023;16585;19490;44102;15528
Q2;2023;19640;19672;46489;16351
Q3;2023;18811;16952;39960;16322
Q4;2023;18509;19058;54343;17531
Q1;2024;14901;15182;51555;12240
Q2;2024;17310;17330;50675;16139
Q3;2024;13033;17700;47400;14650
Q4;2024;18438;19284;59284;15113
